epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2029.41,1.41013,1.14468,1.56818,0.74772,0.66277,0.7041,0.41575,1.44175,1.03299,1.61593,0.005743,0.005743,0.005743
45,2067.84,1.43009,1.13564,1.58701,0.74792,0.66108,0.71262,0.41686,1.42112,1.02371,1.60213,0.005644,0.005644,0.005644
46,2105.9,1.40017,1.11555,1.56275,0.76276,0.66476,0.72288,0.4256,1.44376,1.01307,1.61546,0.005545,0.005545,0.005545
47,2144.84,1.41304,1.12493,1.56492,0.75993,0.66615,0.71464,0.42263,1.42319,1.01635,1.60006,0.005446,0.005446,0.005446
48,2193.43,1.39866,1.11673,1.55417,0.77617,0.66537,0.72005,0.42679,1.42829,1.01305,1.59782,0.005347,0.005347,0.005347
49,2241.38,1.39539,1.09364,1.55876,0.77421,0.65463,0.72188,0.4296,1.41847,1.00981,1.59066,0.005248,0.005248,0.005248
50,2279.73,1.39262,1.09737,1.55295,0.77407,0.66357,0.72035,0.43099,1.4209,1.00295,1.59598,0.005149,0.005149,0.005149
51,2316.58,1.38217,1.08705,1.55192,0.77244,0.66209,0.71676,0.42681,1.41848,1.00323,1.58669,0.00505,0.00505,0.00505
52,2353.43,1.38143,1.08086,1.54358,0.79181,0.66615,0.71871,0.42552,1.41921,0.98223,1.58822,0.004951,0.004951,0.004951
53,2390.43,1.36894,1.06795,1.53278,0.79127,0.66503,0.72295,0.43443,1.41818,0.98405,1.58388,0.004852,0.004852,0.004852
54,2429.92,1.36601,1.06513,1.52332,0.77997,0.65328,0.72123,0.42995,1.40333,0.98342,1.57334,0.004753,0.004753,0.004753
55,2466.54,1.35384,1.05477,1.52241,0.76699,0.66959,0.72145,0.43117,1.40098,0.9669,1.56865,0.004654,0.004654,0.004654
56,2521.69,1.33897,1.0407,1.51408,0.76689,0.67725,0.72201,0.43527,1.39459,0.96357,1.57151,0.004555,0.004555,0.004555
57,2559.61,1.34376,1.03948,1.51767,0.77202,0.68608,0.72847,0.43375,1.40991,0.96407,1.58212,0.004456,0.004456,0.004456
58,2598.21,1.34062,1.03646,1.50834,0.74952,0.67032,0.72149,0.43368,1.39547,0.96251,1.5681,0.004357,0.004357,0.004357
59,2636.57,1.32538,1.02526,1.49706,0.77805,0.65843,0.7231,0.42809,1.3998,0.95233,1.57271,0.004258,0.004258,0.004258
60,2677.51,1.33486,1.02446,1.49427,0.74739,0.687,0.72821,0.43501,1.40456,0.94478,1.57378,0.004159,0.004159,0.004159
61,2718.43,1.32367,1.0115,1.49921,0.74252,0.67193,0.72137,0.43194,1.39062,0.95108,1.56195,0.00406,0.00406,0.00406
62,2757.77,1.31726,1.01328,1.49566,0.74002,0.69632,0.72676,0.4385,1.38554,0.95174,1.55875,0.003961,0.003961,0.003961
63,2795.65,1.31993,1.00527,1.49677,0.77555,0.6836,0.73061,0.44041,1.39155,0.94281,1.56383,0.003862,0.003862,0.003862
64,2833.01,1.30779,0.98783,1.47876,0.7417,0.69444,0.72811,0.44106,1.38454,0.9415,1.55863,0.003763,0.003763,0.003763
65,2870.12,1.29788,0.98373,1.47223,0.74941,0.69254,0.73442,0.44498,1.38649,0.92685,1.55355,0.003664,0.003664,0.003664
66,2906.42,1.30159,0.97593,1.47505,0.76593,0.66867,0.72395,0.44018,1.38614,0.93921,1.5577,0.003565,0.003565,0.003565
67,2943.24,1.29659,0.96766,1.47016,0.77505,0.6904,0.73349,0.44443,1.38652,0.9212,1.55736,0.003466,0.003466,0.003466
68,2990.06,1.2936,0.97505,1.47549,0.74248,0.70302,0.7342,0.44401,1.37644,0.92249,1.55314,0.003367,0.003367,0.003367
69,3035.75,1.28557,0.97399,1.46643,0.74264,0.68595,0.72894,0.44184,1.38436,0.92835,1.55746,0.003268,0.003268,0.003268
70,3073.64,1.2838,0.95269,1.46494,0.75411,0.68071,0.72905,0.44557,1.37621,0.90931,1.55211,0.003169,0.003169,0.003169
71,3112.89,1.26814,0.93264,1.44791,0.72087,0.71397,0.72405,0.44599,1.3675,0.91681,1.54307,0.00307,0.00307,0.00307
72,3161.41,1.26577,0.94331,1.45547,0.72227,0.71044,0.73009,0.44387,1.36407,0.90559,1.54146,0.002971,0.002971,0.002971
73,3220.36,1.26013,0.94099,1.44471,0.71711,0.70894,0.72378,0.4417,1.36219,0.9048,1.53865,0.002872,0.002872,0.002872
74,3289.83,1.24903,0.93218,1.4378,0.74655,0.69127,0.72788,0.44313,1.37022,0.91279,1.53805,0.002773,0.002773,0.002773
75,3333.57,1.25171,0.93912,1.44432,0.75478,0.68047,0.7356,0.45338,1.36604,0.9005,1.54201,0.002674,0.002674,0.002674
76,3387.58,1.24626,0.91081,1.43036,0.74885,0.7152,0.73947,0.45285,1.35723,0.89663,1.53699,0.002575,0.002575,0.002575
77,3431.18,1.24426,0.93019,1.43378,0.761,0.71089,0.73566,0.45178,1.35191,0.89538,1.52915,0.002476,0.002476,0.002476
78,3471.98,1.2343,0.90444,1.42275,0.74421,0.71248,0.72878,0.44702,1.35965,0.89468,1.53636,0.002377,0.002377,0.002377
79,3512.47,1.23117,0.89759,1.41796,0.74383,0.70279,0.72987,0.44447,1.35569,0.89318,1.53118,0.002278,0.002278,0.002278
80,3552.43,1.22218,0.89036,1.41743,0.74284,0.70646,0.7318,0.44582,1.35223,0.89041,1.53063,0.002179,0.002179,0.002179
81,3589.71,1.22295,0.88928,1.41757,0.74213,0.7088,0.73278,0.44877,1.3538,0.89,1.52921,0.00208,0.00208,0.00208
82,3626.83,1.21383,0.88459,1.40506,0.75322,0.70584,0.73027,0.44649,1.35722,0.89046,1.5308,0.001981,0.001981,0.001981
83,3664.44,1.2137,0.88555,1.40778,0.75216,0.70946,0.73509,0.44791,1.35408,0.8831,1.53333,0.001882,0.001882,0.001882
84,3702.87,1.20536,0.86858,1.40317,0.75714,0.69742,0.73078,0.4484,1.35507,0.88353,1.5366,0.001783,0.001783,0.001783
85,3740.18,1.18701,0.85264,1.39651,0.72319,0.7217,0.72926,0.45123,1.35382,0.88028,1.53373,0.001684,0.001684,0.001684
86,3776.53,1.19291,0.85445,1.39617,0.72761,0.71115,0.73098,0.44892,1.34967,0.87973,1.52907,0.001585,0.001585,0.001585
87,3813.17,1.18782,0.85967,1.38889,0.75215,0.69654,0.73114,0.45037,1.35024,0.87557,1.52788,0.001486,0.001486,0.001486
88,3851.99,1.18644,0.84624,1.38664,0.74033,0.7078,0.73105,0.45209,1.35295,0.87683,1.52642,0.001387,0.001387,0.001387
89,3889.5,1.18579,0.85059,1.38818,0.73545,0.71854,0.73057,0.45143,1.34956,0.87707,1.52382,0.001288,0.001288,0.001288
90,3932.75,1.17406,0.84077,1.38605,0.73108,0.71579,0.72937,0.45055,1.34997,0.87545,1.52336,0.001189,0.001189,0.001189
91,3984.82,1.14264,0.71819,1.36227,0.73475,0.71899,0.73119,0.45086,1.354,0.87332,1.52796,0.00109,0.00109,0.00109
92,4022.77,1.12683,0.69195,1.34844,0.73897,0.71763,0.73208,0.45264,1.35364,0.87176,1.53194,0.000991,0.000991,0.000991
93,4061.05,1.11722,0.68749,1.34518,0.7394,0.71558,0.7347,0.45273,1.35559,0.86841,1.53301,0.000892,0.000892,0.000892
94,4098.43,1.10074,0.67536,1.33288,0.74767,0.71644,0.7371,0.45221,1.35789,0.86714,1.53622,0.000793,0.000793,0.000793
95,4138,1.09835,0.67212,1.33123,0.73385,0.72871,0.73612,0.45315,1.35949,0.86921,1.5383,0.000694,0.000694,0.000694
96,4178.5,1.09132,0.67006,1.32187,0.74087,0.7255,0.73577,0.45256,1.35921,0.87044,1.53896,0.000595,0.000595,0.000595
97,4227.5,1.08611,0.66557,1.31909,0.74026,0.72329,0.73494,0.45089,1.35898,0.87111,1.53919,0.000496,0.000496,0.000496
98,4269.35,1.0746,0.6552,1.3145,0.73455,0.73009,0.73573,0.45045,1.35635,0.87218,1.53872,0.000397,0.000397,0.000397
99,4309.16,1.06593,0.64914,1.30708,0.72982,0.73226,0.73527,0.44851,1.35565,0.87332,1.53925,0.000298,0.000298,0.000298
100,4347.42,1.06661,0.6486,1.30468,0.73581,0.72894,0.73505,0.44962,1.35557,0.87229,1.54078,0.000199,0.000199,0.000199
